core.width_nm,overlay.thickness_nm,nanowire.fill_factor,delta_db_max,mean_absorptance,worst_absorptance,band_ok,objective,pdde_proxy_db
1150,45,0.45,0.0,0.0,0.0,False,8.5,inf
1150,45,0.55,0.0,0.0,0.0,False,8.5,inf
1150,55,0.45,1.2368650000230894,0.8600751973249907,0.7376617633542688,False,1.2368650000230894,0.009176659174113234
1150,55,0.55,1.2535163005022174,0.8592324344031406,0.7347119235117165,False,1.2535163005022174,0.016593297576387993
1250,45,0.45,0.0,0.0,0.0,False,8.5,inf
1250,45,0.55,0.0,0.0,0.0,False,8.5,inf
1250,55,0.45,1.2280690133878223,0.8568244584992405,0.7348083272069398,False,1.2280690133878223,0.016976909920932346
1250,55,0.55,1.2409548299737092,0.8569937683543256,0.7345335792847864,False,1.2409548299737092,0.007870798617245637
