wavelength,n
1786.5798922801,2.6800313959
1795.1035095404,2.6795668587
1798.402713775,2.6793870521
1807.2168071493,2.6789572017
1810.22553527,2.6788142871
1819.3301047581,2.67838182
1822.048356765,2.6782527031
1831.443402367,2.6778064384
1833.87117826,2.677691119
1843.5566999758,2.6772310568
1845.6939997549,2.677129535
1855.6699975847,2.6766556751
1857.5168212499,2.676567951
1867.7832951936,2.6760802935
1869.3396427449,2.676006367
1879.8965928024,2.6755049118
1881.2699444353,2.6754396776
1892.0098904113,2.6749295302
1892.770325344,2.6748934095
1899.9714984364,2.6745513538
1904.1231880202,2.6743541486
1916.236485629,2.6737787669
1928.3497832379,2.6732033853
1940.4630808467,2.6726280037
1952.5763784556,2.672052622
1962.4891454326,2.6715817656
1964.6896760645,2.6714772404
1976.8029736733,2.6709018588
1976.8198381537,2.6709010577
1988.6426596487,2.6703394737
1988.9162712822,2.6703264771
2000.4654811437,2.6697771914
2001.0295688911,2.6697495511
2012.2883026387,2.6691978732
2013.1428664999,2.6691559995
2024.1111241336,2.6686185549
2025.2561641088,2.668562448
2035.9339456286,2.6680392367
2037.3694617176,2.6679688964
2047.7567671236,2.6674599184
2049.4827593265,2.6673753448
2059.5795886186,2.6668806002
2061.5960569354,2.6667817932
2071.4024101135,2.6663012819
2073.7093545442,2.6661882416
2083.2252316085,2.6657219637
2085.8226521531,2.66559469
2095.0480531035,2.6651426454
2097.935949762,2.6650011385
2106.8708745984,2.6645633271
2110.0492473708,2.6644075869
2118.6936960934,2.6639840089
2122.1625449797,2.6638140353
2130.5165175884,2.6634046906
2134.2758425885,2.6632204837
2142.3393390834,2.6628253724
2146.3891401974,2.6626269321
2154.1621605783,2.6622460541
2158.5024378063,2.6620333805
2165.9849820733,2.6616667359
2170.6157354151,2.661439829
2177.8078035683,2.6610874176
2182.729033024,2.6608462774
2189.6306250633,2.6605080994
2194.8423306328,2.6602527258
2201.4534465582,2.6599280544
