wavelength,n,k
1762.9342492901,0.7283679809,12.4119603079
1770.8769143227,0.7371121993,12.4743843113
1774.7570707851,0.7413839311,12.5048797306
1782.9902119315,0.7504479397,12.5695866809
1786.5798922801,0.7543998814,12.5977991534
1795.1035095404,0.7637836802,12.6647890505
1798.402713775,0.7674158317,12.6907185762
1807.2168071493,0.7771194207,12.7599914201
1810.22553527,0.7804317819,12.7836379989
1819.3301047581,0.7904551612,12.8551937897
1822.048356765,0.7934477322,12.8765574217
1831.443402367,0.8037909017,12.9503961593
1833.87117826,0.8064636825,12.9694768444
1843.5566999758,0.8171266422,13.0455985289
1845.6939997549,0.8194796328,13.0623962672
1855.6699975847,0.8304623827,13.1408008984
1857.5168212499,0.832495583,13.1553156899
1867.7832951936,0.8437981231,13.236003268
1869.3396427449,0.8455115333,13.2482351127
1879.8965928024,0.8571338636,13.3312056376
1881.2699444353,0.8586458104,13.3419992575
1892.0098904113,0.8704696041,13.4264080072
1892.770325344,0.8713067802,13.4323845142
1899.9714984364,0.8792346772,13.4889808899
1904.1231880202,0.8838053446,13.5216103768
1916.236485629,0.8971410851,13.6168127464
1928.3497832379,0.9104768256,13.712015116
1940.4630808467,,
1952.5763784556,,
1962.4891454326,,
1964.6896760645,,
1976.8029736733,,
1976.8198381537,,
1988.6426596487,,
1988.9162712822,,
2000.4654811437,,
2001.0295688911,,
2012.2883026387,,
2013.1428664999,,
2024.1111241336,,
2025.2561641088,,
2035.9339456286,,
2037.3694617176,,
2047.7567671236,,
2049.4827593265,,
2059.5795886186,,
2061.5960569354,,
2071.4024101135,,
2073.7093545442,,
2083.2252316085,,
2085.8226521531,,
2095.0480531035,,
2097.935949762,,
2106.8708745984,,
2110.0492473708,,
2118.6936960934,,
2122.1625449797,,
2130.5165175884,,
2134.2758425885,,
2142.3393390834,,
2146.3891401974,,
2154.1621605783,,
2158.5024378063,,
2165.9849820733,,
2170.6157354151,,
2177.8078035683,,
2182.729033024,,
2189.6306250633,,
2194.8423306328,,
2201.4534465582,,
